countrycode,country,year17,pop17,cn17,rgdpna17,capitalpercapita17,rgdppercapita17,year16,pop16,cn16,rgdpna16,capitalpercapita16,rgdppercapita16,growthofcapital,growthofrgdp,ratio
ABW,Aruba,2017,0.105264001,37786.94141,3720.45874,358973.0695,35344.07508,2016,0.104822002,37003.51172,3671.607422,353012.8302,35027.06817,0.0169,0.0091,0.54
AGO,Angola,2017,29.78419304,1080251.625,202174.4531,36269.29303,6787.978202,2016,28.81346321,1020183.625,207358.4219,35406.49097,7196.581,0.0244,-0.0568,-2.33
AIA,Anguilla,2017,0.014909,3933.790771,270.5666504,263853.4265,18147.87363,2016,0.014764,3830.525391,293.2779846,259450.3834,19864.39921,0.0170,-0.0864,-5.09
ALB,Albania,2017,2.930186987,194144.8125,33518.21484,66256.79978,11438.93376,2016,2.926347971,194667.25,32278.28906,66522.24955,11030.22928,-0.0040,0.0371,-9.29
ARE,United Arab Emirates,2017,9.400144577,2953500.75,727097.9375,314197.3749,77349.65474,2016,9.269612312,2820138.75,721395.75,304234.811,77823.72398,0.0327,-0.0061,-0.19
ARG,Argentina,2017,44.27104187,2364575,727473.0625,53411.32488,16432.2553,2016,43.84743118,2269730.75,707218.875,51764.28103,16129.08341,0.0318,0.0188,0.59
ARM,Armenia,2017,2.930449963,89271.49219,33493.53125,30463.40778,11429.4841,2016,2.924815893,86310.49219,31159.89648,29509.71799,10653.62663,0.0323,0.0728,2.25
ATG,Antigua and Barbuda,2017,0.102012001,14571.40527,2088.210938,142840.1084,20470.24779,2016,0.100962997,13966.03418,2026.747559,138328.2457,20074.16211,0.0326,0.0197,0.6
AUS,Australia,2017,24.45056152,5421295.5,1215688,221724.7851,49720.24871,2016,24.12584877,5218306.5,1180879.125,216295.2504,48946.63546,0.0251,0.0158,0.63
AUT,Austria,2017,8.735452652,2518291.5,380619.5625,288284.0306,43571.81908,2016,8.712137222,2451811.75,371151.9375,281424.8315,42601.70932,0.0244,0.0228,0.93
AZE,Azerbaijan,2017,9.827589035,216398.2031,162821.125,22019.45995,16567.75883,2016,9.725376129,204306.7813,162647.1875,21007.59688,16723.9997,0.0482,-0.0093,-0.19
BDI,Burundi,2017,10.86424541,15963.50488,8221.226563,1469.361587,756.7232006,2016,10.52411747,15455.48535,8221.104492,1468.577807,781.1680662,0.0005,-0.0313,-58.63
BEL,Belgium,2017,11.42933559,3032260.75,453157.6563,265305.0761,39648.64384,2016,11.35837936,2995042.75,445613.9375,263685.7472,39232.17593,0.0061,0.0106,1.73
BEN,Benin,2017,11.1756916,81619.90625,25087.7168,7303.342749,2244.846913,2016,10.87229824,76345.03125,23893.06445,7021.977282,2197.609367,0.0401,0.0215,0.54
BFA,Burkina Faso,2017,19.19338226,90906.67188,29748.94531,4736.354991,1549.958465,2016,18.64643288,84302.85938,27980.79297,4521.125297,1500.597629,0.0476,0.0329,0.69
BGD,Bangladesh,2017,164.669754,2195226.75,623704.75,13331.08659,3787.609654,2016,162.9515533,1988424.5,581357.5625,12202.55014,3567.671192,0.0925,0.0616,0.67
BGR,Bulgaria,2017,7.084570885,420190.0313,127809.3828,59310.58325,18040.52566,2016,7.131494045,387669.5313,123117.0078,54360.21243,17263.845,0.0911,0.0450,0.49
BHR,Bahrain,2017,1.49258399,320046.4375,60401.83594,214424.4074,40467.96451,2016,1.425171018,299607.6875,58215.08594,210225.7791,40847.78965,0.0200,-0.0093,-0.47
BHS,Bahamas,2017,0.395361006,70363.38281,10724.18555,177972.4902,27125.04617,2016,0.391232014,68705.67969,10534.56348,175613.6443,26926.63971,0.0134,0.0074,0.55
BIH,Bosnia and Herzegovina,2017,3.507016897,124995.8203,39339.80469,35641.63618,11217.45513,2016,3.516815901,118737.6172,38182.35156,33762.81857,10857.07999,0.0556,0.0332,0.6
BLR,Belarus,2017,9.468338013,579574.8125,176230.8594,61211.88446,18612.64977,2016,9.480042458,561184.625,172016.9531,59196.42528,18145.16695,0.0340,0.0258,0.76
BLZ,Belize,2017,0.374680996,6526.404785,2737.58667,17418.56367,7306.446549,2016,0.366953999,6067.632813,2724.468506,16535.13201,7424.550529,0.0534,-0.0159,-0.3
